PMID,Title,Abstract,Authors
23157182,The inferior medullary velum: anatomical study and neurosurgical relevance.,"Although it is often visualized surgically, details regarding the inferior medullary velum are lacking in the literature. The present study is intended to better elucidate this neuroanatomical structure using microsurgical and immunohistochemical analyses. To study the inferior medullary velum, the authors performed microdissection in 15 adult cadavers. Following gross study, specimens were examined histologically. The inferior medullary velum extended from the flocculus to the middle cerebellar peduncle and stretched between the inferior cerebellar peduncle and the nodule and pyramid. The average thickness of the velum was found to be 0.5 mm (range 0.35-0.8 mm) and the average length was found to be 6 mm (range 5.5-7.2 mm). Arterial branches were identified in all specimens that arose from medullary branches of the posterior inferior cerebellar artery and supplied the inferior medullary velum. Histologically and from internal to external, a choroid plexus epithelium as a single cell layer was adjacent to a cuboidal layer of ependymal cells with no visible cilia. The next layer contained scattered glia in single cells or small clusters. The most external layer was composed of flat spindle cells resembling fibroblasts. No neurons of any type were identified. Only rare axons traversed the thin hypocellular zone that disappeared toward the midline. Based on this cadaveric study, the authors conclude that division of the inferior medullary velum should be relatively harmless as no neuronal cells were identified in this structure, which appears to be a vestigial bridge of tissue between the left and right sides of the cerebellum.",R Shane RS;Anand N AN;Marios M;Eyas M EM;Aaron A AA
23155263,Medullomyoblastoma: a case report and literature review of a rare tumor entity.,"Medullomyoblastoma (MMB) is a very rare medulloblastoma (MB) variant consisting of primitive neuroectodermal cells intermixed with cells featuring myogenic differentiation. MMBs are a subtype of primitive neuroectodermal neoplasm (PNET) predominantly occurring in children. We describe a case of a one-year-old girl who presented with headache, emesis and ataxia. The symptoms had started seven weeks before hospital admission. Magnet resonance imaging of the brain was performed, and revealed a lesion with a maximal diameter of 5 cm, located in the cerebellum close to the vermis. Histologically, the poorly-differentiated lesion was diagnosed as a type of PNET, but it was the immunohistochemical staining that assured the diagnosis of MMB. Immunohistochemistry and interphase fluorescence in situ hybridization (I-FISH) were performed on formalin-fixed paraffin-embedded tissue. FISH did not reveal any amplification of CMYC or NMYC. No nuclear expression of β-catenin was detectable. Since MMB is a very rare tumor entity, standard treatment today is the same as that for conventional MB due to the lack of larger study series. Some authors assume that MMBs behave especially aggressive in comparison to conventional MBs. Therefore, new treatment regimes should be tested to optimize the prognosis of MMB. Further data is needed to determine the differences between MB and MMB.",Elisabeth E;Sultan S;Harald H;Christine C;Reinhold R;Johannes J
23154646,Identification of pediatric brain neoplasms using Raman spectroscopy.,"Raman spectroscopy can quickly and accurately diagnose tissue in near real-time. This study evaluated the capacity of Raman spectroscopy to diagnose pediatric brain tumors. Samples of untreated pediatric medulloblastoma (4 samples and 4 patients), glioma (i.e. astrocytoma, oligodendroglioma, ependymoma, ganglioglioma and other gliomas; 27 samples and 19 patients), and normal brain samples (33 samples and 5 patients) were collected fresh from the operating room or from our frozen tumor bank. Samples were divided and tested using routine pathology and Raman spectroscopy. Twelve Raman spectra were collected per sample. Support vector machine analysis was used to classify spectra using the pathology diagnosis as the gold standard. Normal brain (321 spectra), glioma (246 spectra) and medulloblastoma (82 spectra) were identified with 96.9, 96.7 and 93.9% accuracy, respectively, when compared with each other. High-grade ependymomas (41 spectra) were differentiated from low-grade ependymomas (25 spectra) with 100% sensitivity and 96.0% specificity. Normal brain tissue was distinguished from low-grade glioma (118 spectra) with 91.5% sensitivity and 97.8% specificity. For these analyses, the tissue-level classification was determined to be 100% accurate. These results suggest Raman spectroscopy can accurately distinguish pediatric brain neoplasms from normal brain tissue, similar tumor types from each other and high-grade from low-grade tumors.",David G DG;Rachel E RE;Janet M JM;Raja R;Sandeep S;Gregory W GW;Michael D MD
23151728,Neuroimaging of nevoid basal cell carcinoma syndrome (NBCCS) in children.,"Nevoid basal cell carcinoma syndrome (NBCCS, Gorlin syndrome) is an autosomal dominant condition with a wide range of manifestations, including multiple basal cell carcinomas, medulloblastoma, odontogenic keratocysts (OKC) and skeletal abnormalities. Children with NBCCS also have a predisposition for secondary cancers after exposure to ionising radiation. In children undergoing imaging for posterior fossa mass and/or maxillofacial cysts, certain additional findings can raise the possibility of NBCCS. Making the diagnosis can significantly impact patient management, especially for children with medulloblastoma.",Kamyar K;Adam A;George G;Nadja N
25337109,(1)H magnetic resonance spectroscopy and diffusion weighted imaging findings of medulloblastoma in 3.0T MRI: A retrospective analysis of 17 cases.,"(1)H magnetic resonance spectroscopy and diffusion weighted imaging features of the cerebellar vermis in 17 medulloblastoma patients were retrospectively analyzed, and 17 healthy volunteers were selected as controls. (1)H magnetic resonance spectroscopy showed that in all 17 medulloblastoma patients, N-acetyl aspartate and creatine peaks were significantly decreased, the choline peak was significantly increased, and there was evidence of a myo-inositol peak. Further, 11 patients showed a low taurine peak at 3.4 ppm, five patients showed a lipid peak at 0.9-1.3 ppm, and three patients showed a negative lactic acid peak at 1.33 ppm. Compared with the control group, the ratios of N-acetyl aspartate/choline and N-acetyl aspartate/creatine were significantly decreased, and the ratio of choline/creatine was increased, in medulloblastoma patients. Diffusion weighted imaging displayed hyperintensity and decreased apparent diffusion coefficient in medulloblastoma patients. These findings indicate that (1)H magnetic resonance spectroscopy and diffusion weighted imaging are useful for qualitative diagnosis of medulloblastoma.",Guangyao G;Haopeng H;Prasanna P;Guobing G
23145127,Evaluating the effect of therapeutic stem cells on TRAIL resistant and sensitive medulloblastomas.,"Mesenchymal stem cells (MSC) are emerging as novel cell-based delivery agents; however, a thorough investigation addressing their therapeutic potential in medulloblastomas (MB) has not been explored to date. In this study, we engineered human MSC to express a potent and secretable variant of a tumor specific agent, tumor necrosis factor-apoptosis-inducing ligand (S-TRAIL) and assessed the ability of MSC-S-TRAIL mediated MB killing alone or in combination with a small molecule inhibitor of histone-deacetylase, MS-275, in TRAIL-sensitive and -resistant MB in vitro and in vivo. We show that TRAIL sensitivity/resistance correlates with the expression of its cognate death receptor (DR)5 and MSC-S-TRAIL induces caspase-3 mediated apoptosis in TRAIL-sensitive MB lines. In TRAIL-resistant MB, we show upregulation of DR4/5 levels when pre-treated with MS-275 and a subsequent sensitization to MSC-S-TRAIL mediated apoptosis. Using intracranially implanted MB and MSC lines engineered with different combinations of fluorescent and bioluminescent proteins, we show that MSC-S-TRAIL has significant anti-tumor effects in mice bearing TRAIL-sensitive and MS-275 pre-treated TRAIL-resistant MBs. To our knowledge, this is the first study that explores the use of human MSC as MB-targeting therapeutic-vehicles in vivo in TRAIL-sensitive and resistant tumors, and has implications for developing effective therapies for patients with medulloblastomas.",Irina I;Simone S;Tugba T;Maarten M;Khalid K
23143003,Histone deacetylases expression in atypical teratoid rhabdoid tumors.,"Atypical teratoid rhabdoid tumors (ATRTs) are rare, highly malignant central nervous system tumors that occur during infancy and early childhood. Their poor outcome and resistance to conventional chemotherapies and radiotherapy, urges the development of new therapies. Recent studies have evaluated the effects of histone deacetylase inhibitors (HDACi) as a new potential treatment for ATRTs. However, most HDACi act unselectively against all, or at least several, histone deacetylase (HDAC) family members. We hypothesized that specific HDAC family members are deregulated in ATRT and therefore a more selective class of HDACi would be beneficial to patients with ATRT. To test our hypothesis, we evaluated the expression level of different HDAC family members in ATRTs. Eight ATRTs were compared to six medulloblastoma samples in regards to the level of expression of the 18 HDAC family members as determined by microarray gene expression profiling. HDAC1 was the only member of the HDAC family to be significantly differentially expressed in ATRTs (FC = 4.728; p value = 0.00003). A class of HDACi specifically targeting HDAC1 may allow for the desired therapeutic benefits with fewer side effects for children with ATRT.",Simone Treiger ST;Abby L AL;Christopher A CA;Maria de Fátima Mde F;Tadanori T
23141635,[Trisomy 21 and cancers].,"Patients with trisomy 21, still called Down's syndrome (DS), present a particular tumoral profile compared to the general population with an increased incidence of leukaemia in the childhood and a low risk of solid cancer in the adulthood. DS children indeed present a 50-fold risk of developing a leukaemia compared to age-matched non-trisomic children and most of them develop a specific myelodysplasic disorder called transient myelodysplasic disorder. In spite of the low incidence of solid tumors, some are very rare as breast cancer, nephroblastoma, neuroblastoma and medulloblastoma, whereas the others remain more frequent as retinoblastoma, lymphoma and gonadal and extragonadal germ cell tumours. In this review, we present possible mechanisms which can favour, or on the contrary repress the formation and progression of tumours in DS patients, which are related to gene effect dosage of oncogenes or tumour repressors on chromosome 21, tumour angiogenesis, apoptosis and epithelial cell-stroma interactions.",W W;L L;F F;A A;A A;P P
23138228,Inhibition of cyclin-dependent kinase 6 suppresses cell proliferation and enhances radiation sensitivity in medulloblastoma cells.,"Medulloblastoma accounts for 20 % of all primary pediatric intracranial tumors. Current treatment cures 50-80 % of patients but is associated with significant long-term morbidity and thus new therapeutic targets are needed. One such target is cyclin-dependent kinase 6 (CDK6), a serine/threonine kinase that plays a vital role in cell cycle progression and differentiation. CDK6 is overexpressed in medulloblastoma patients and is associated with an adverse prognosis. To investigate the role of CDK6 in medulloblastoma, we assayed the effect of CDK6 inhibition on proliferation by depleting expression with RNA interference (RNAi) or by inhibiting kinase function with a small molecule inhibitor, PD0332991. Cell proliferation was assessed by colony focus assay or by the xCELLigence system. We then investigated the impact of CDK6 inhibition on differentiation of murine neural stem cells by immunofluorescence of relevant markers. Finally we evaluated the effects of PD0332991 treatment on medulloblastoma cell cycle and radiosensitivity using colony focus assays. Gene expression analysis revealed that CDK6 mRNA expression is higher than normal cerebellum in fifteen out of sixteen medulloblastoma patient samples. Inhibition of CDK6 by RNAi significantly decreased medulloblastoma cell proliferation and colony forming potential. Interestingly, CDK6 inhibition by RNAi increased differentiation in murine neural stem cells. PD0332991 treatment significantly decreased medulloblastoma cell proliferation and led to a G0/G1 cell cycle arrest. Furthermore, PD0332991 pretreatment sensitized medulloblastoma cells to ionizing radiation. Our findings suggest that targeting CDK6 with small molecule inhibitors may prove beneficial in the treatment of medulloblastoma, especially when combined with radiation.",Susan L SL;Peter S PS;Sujatha S;Irina I;Diane K DK;Andrew M AM;Nicholas K NK;Rajeev R
23135053,Unusual presentation in adult medulloblastomas: imaging features mimicking cerebellar dysplastic gangliocytoma (Lhermitte-Duclos disease).,,Amey A;Pravin P;Chirag K CK;Swapnil S;Navneet N
23135025,Nuclear expression of β-catenin and stem cell markers as potential prognostic indicators in medulloblastoma.,"To study the prognostic role of β-catenin and stem cell markers in medulloblastoma (MB). Sixty cases of MB were retrospectively analyzed to study the expression of β-catenin, CD15, and CD133 by immunohistochemistry. Their expression was correlated with histological subtypes and event-free survival (EFS). Patients were divided into Group 1 and 2 based on non-occurrence and occurrence of events during the follow-up period. Fifty of the 60 cases were of classic type of MB while nine were of desmoplastic subtype and one case showed chondroid and rhabdomyoblastic differentiation. Immunoreactivity for β-catenin was observed as nuclear and/or cytoplasmic positivity within the tumor cells. Forty-one (68.3%) cases showed cytoplasmic positivity, while nuclear positivity was seen in 21 (35%) cases. There was a significant correlation between nuclear expression of β-catenin and different histological subtypes by Chi-square test (P value<0.05). A statistically significant positive correlation of β-catenin nuclear positivity with EFS was observed. Among 60 cases, 37 cases (67.3%) showed presence of CD15+ tumor cells with percentage of positivity varying between 0.1 to 17.1%. Overall, 42 of 60 (70%) cases showed presence of CD133+ cells. The percentage of positivity varied between 0.1 to 16.5%. A statistically significant negative correlation of CD15 and CD133 positivity with EFS was observed. Nucleopositive β-catenin cases were associated with a favorable outcome on univariate analysis. Both CD15 and CD133 positivity were associated with a worse outcome on univariate analysis.",Kiran Krishne KK;Kirti K;Rakesh R;Rakesh K RK
23134812,Treatment of medulloblastoma using an oncolytic measles virus encoding the thyroidal sodium iodide symporter shows enhanced efficacy with radioiodine.,"Medulloblastoma is the most common malignant brain tumor of childhood. Although the clinical outcome for medulloblastoma patients has improved significantly, children afflicted with the disease frequently suffer from debilitating side effects related to the aggressive nature of currently available therapy. Alternative means for treating medulloblastoma are desperately needed. We have previously shown that oncolytic measles virus (MV) can selectively target and destroy medulloblastoma tumor cells in localized and disseminated models of the disease. MV-NIS, an oncolytic measles virus that encodes the human thyroidal sodium iodide symporter (NIS), has the potential to deliver targeted radiotherapy to the tumor site and promote a localized bystander effect above and beyond that achieved by MV alone. We evaluated the efficacy of MV-NIS against medulloblastoma cells in vitro and examined their ability to incorporate radioiodine at various timepoints, finding peak uptake at 48 hours post infection. The effects of MV-NIS were also evaluated in mouse xenograft models of localized and disseminated medulloblastoma. Athymic nude mice were injected with D283med-Luc medulloblastoma cells in the caudate putamen (localized disease) or right lateral ventricle (disseminated disease) and subsequently treated with MV-NIS. Subsets of these mice were given a dose of 131I at 24, 48 or 72 hours later. MV-NIS treatment, both by itself and in combination with 131I, elicited tumor stabilization and regression in the treated mice and significantly extended their survival times. Mice given 131I were found to concentrate radioiodine at the site of their tumor implantations. In addition, mice with localized tumors that were given 131I either 24 or 48 hours after MV-NIS treatment exhibited a significant survival advantage over mice given MV-NIS alone. These data suggest MV-NIS plus radioiodine may be a potentially useful therapy for the treatment of medulloblastoma.",Brian B;Christopher R CR;Stephen J SJ;Evanthia E;Corey C;Adam W AW
23133782,Medulloblastoma with excessive nodularity: radiographic features and pathologic correlate.,"Medulloblastoma with extensive nodularity is a rare subtype of the most common malignant childhood brain tumor and has been associated with more favorable prognosis. The authors report the case of a 10-month-old girl with a posterior fossa tumor of excessive nodularity with decreased diffusivity on diffusion-weighted magnetic resonance imaging sequences and robust grape-like postgadolinium contrast enhancing features. The unique neuroradiographic features were confirmed by histopathology and a diagnosis of medulloblastoma with extensive nodularity was made. This case highlights the importance of recognizing this unique medulloblastoma subtype preoperatively, as the more favorable outcome may preclude less aggressive medical management.",L A LA;D M DM;D N DN;J R JR
23129837,Desmoplastic medulloblastoma arising from an ovarian teratoma: a case report and review of the literature.,"The primary neuroectodermal tumor of the ovary is extremely rare, and it manifests in 3 forms: differentiated, primitive, and anaplastic. The medulloblastoma belongs to the subgroup of primitive neuroectodermal tumor of the ovary. Only 3 cases of ovarian medulloblastoma have been reported in the literature, and all of them are presented without information about the specific pathological subtype. We present the fourth case of a 26-year-old woman who presented with abdominal fullness for months. Ultrasound exam showed a right adnexal mass with cystic feature and foci solid components. A partial oophorectomy was performed, and the mass was a desmoplastic medulloblastoma arising from an ovarian teratoma.",Shiuan-Li SL;Chi-Kuan CK;Tze-Chien TC;Tung-Ying TY
23115191,Tis21 knock-out enhances the frequency of medulloblastoma in Patched1 heterozygous mice by inhibiting the Cxcl3-dependent migration of cerebellar neurons.,"A failure in the control of proliferation of cerebellar granule neuron precursor cells (GCPs), located in the external granular layer (EGL) of the cerebellum, gives rise to medulloblastoma. To investigate the process of neoplastic transformation of GCPs, we generated a new medulloblastoma model by crossing Patched1 heterozygous mice, which develop medulloblastomas with low frequency, with mice lacking the Tis21 gene. Overexpression of Tis21 is known to inhibit proliferation and trigger differentiation of GCPs; its expression decreases in human medulloblastomas. Double-knock-out mice show a striking increase in the frequency of medulloblastomas and hyperplastic EGL lesions, formed by preneoplastic GCPs. Tis21 deletion does not affect the proliferation of GCPs but inhibits their differentiation and, chiefly, their intrinsic ability to migrate outside the EGL. This defect of migration may represent an important step in medulloblastoma formation, as GCPs, remaining longer in the EGL proliferative niche, may become more prone to transformation. By genome-wide analysis, we identified the chemokine Cxcl3 as a target of Tis21. Cxcl3 is downregulated in Tis21-null GCPs of EGL and lesions; addition of Cxcl3 to cerebellar slices rescues the defective migration of Tis21-null GCPs and, remarkably, reduces the area of hyperplastic lesions. As Tis21 activates Cxcl3 transcription, our results suggest that Tis21 induces migration of GCPs through Cxcl3, which may represent a novel target for medulloblastoma therapy.",Stefano S;Irene I;Manuela M;Laura L;Luca L;Maria Teresa MT;Marco M;Concezio C;Roberto R;Sebastiano S;Felice F
23115013,Recombinant anti-podoplanin (NZ-1) immunotoxin for the treatment of malignant brain tumors.,"Our study demonstrates the glioma tumor antigen podoplanin to be present at very high levels (>90%) in both glioblastoma (D2159MG, D08-0308MG and D08-0493MG) and medulloblastoma (D283MED, D425MED and DAOY) xenografts and cell line. We constructed a novel recombinant single-chain antibody variable region fragment (scFv), NZ-1, specific for podoplanin from the NZ-1 hybridoma. NZ-1-scFv was then fused to Pseudomonas exotoxin A, carrying a C-terminal KDEL peptide (NZ-1-PE38KDEL). The immunotoxin (IT) was further stabilized by a disulfide (ds) bond between the heavy-chain and light-chain variable regions as the construct NZ-1-(scdsFv)-PE38KDEL. NZ-1-(scdsFv)-PE38KDEL exhibited significant reactivity to glioblastoma and medulloblastoma cells. The affinity of NZ-1-(scdsFv), NZ-1-(scdsFv)-PE38KDEL and NZ-1 antibody for podoplanin peptide was 2.1 × 10(-8) M, 8.0 × 10(-8) M and 3.9 × 10(-10) M, respectively. In a protein stability assay, NZ-1-(scdsFv)-PE38KDEL retained 33-98% of its activity, whereas that of NZ-1-PE38KDEL declined to 13% of its initial levels after incubation at 37°C for 3 days. In vitro cytotoxicity of the NZ-1-(scdsFv)-PE38KDEL was measured in cells isolated from glioblastoma xenografts, D2159MG, D08-0308MG and D08-0493MG, and in the medulloblastoma D283MED, D425MED and DOAY xenografts and cell line. The NZ-1-(scdsFv)-PE38KDEL IT was highly cytotoxic, with an 50% inhibitory concentration in the range of 1.6-29 ng/ml. Significantly, NZ-1-(scdsFv)-PE38KDEL demonstrated tumor growth delay, averaging 24 days (p < 0.001) and 21 days (p < 0.001) in D2159MG and D283MED in vivo tumor models, respectively. Crucially, in the D425MED intracranial tumor model, NZ-1-(scdsFv)-PE38KDEL caused a 41% increase in survival (p ≤ 0.001). In preclinical studies, NZ-1-(scdsFv)-PE38KDEL exhibited significant potential as a targeting agent for malignant brain tumors.",Vidyalakshmi V;Xuhui X;Mika M;Yukinari Y;Stephen T ST;Scott E SE;Chien-Tsun CT;Ira H IH;Darell D DD
23095836,Molecular markers in pediatric neuro-oncology.,"Pediatric molecular neuro-oncology is a fast developing field. A multitude of molecular profiling studies in recent years has unveiled a number of genetic abnormalities unique to pediatric brain tumors. It has now become clear that brain tumors that arise in children have distinct pathogenesis and biology, compared with their adult counterparts, even for those with indistinguishable histopathology. Some of the molecular features are so specific to a particular type of tumors, such as the presence of the KIAA1549-BRAF fusion gene for pilocytic astrocytomas or SMARCB1 mutations for atypical teratoid/rhabdoid tumors, that they could practically serve as a diagnostic marker on their own. Expression profiling has resolved the existence of 4 molecular subgroups in medulloblastomas, which positively translated into improved prognostication for the patients. The currently available molecular markers, however, do not cover all tumors even within a single tumor entity. The molecular pathogenesis of a large number of pediatric brain tumors is still unaccounted for, and the hierarchy of tumors is likely to be more complex and intricate than currently acknowledged. One of the main tasks of future molecular analyses in pediatric neuro-oncology, including the ongoing genome sequencing efforts, is to elucidate the biological basis of those orphan tumors. The ultimate goal of molecular diagnostics is to accurately predict the clinical and biological behavior of any tumor by means of their molecular characteristics, which is hoped to eventually pave the way for individualized treatment.",Koichi K;Ryo R;Masao M
23095827,Cerebral white matter integrity and executive function in adult survivors of childhood medulloblastoma.,"Survivors of pediatric medulloblastoma are at risk for neurocognitive dysfunction. Reduced white matter integrity has been correlated with lower intelligence in child survivors, yet associations between specific cognitive processes and white matter have not been examined in long-term adult survivors. Twenty adult survivors of medulloblastoma were randomly recruited from a larger institutional cohort of adult survivors of childhood cancer. Survivors underwent comprehensive neurocognitive evaluations and MRI. Data on brain volume and cortical thickness and diffusion tensor imaging were acquired, including measures of fractional anisotropy, apparent diffusion coefficient, and axial and radial diffusivity. Observed neurocognitive scores were compared with population norms and correlated to MRI indices. Survivors were, on average, 29 years of age and 18 years postdiagnosis. Mean full-scale intelligence quotient was nearly 1 SD below the normative mean (86.3 vs 100, P = .004). Seventy-five percent of survivors were impaired on at least one measure of executive function. Radial diffusivity in the frontal lobe of both hemispheres was correlated with shifting attention (left: r(s) = -0.67, P = .001; right: r(s) = -0.64, P = .002) and cognitive flexibility (left: r(s) = -0.56, P = .01; right: r(s) = -0.54, P = .01). Volume and cortical thickness were not correlated with neurocognitive function. Neurocognitive impairment was common and involved many domains. Reduced white matter integrity in multiple brain regions correlated with poorer performance on tasks of executive function. Future research integrating diffusion tensor imaging should be a priority to more rigorously evaluate long-term consequences of cancer treatment and to inform cognitive intervention trials in this high-risk population.",Tara M TM;Wilburn E WE;Joshua J;John O JO;Noah D ND;Deo Kumar DK;Leslie L LL;Melissa M MM;Kevin R KR
23109381,A dual neural network ensemble approach for multiclass brain tumor classification.,"The present study is conducted to develop an interactive computer aided diagnosis (CAD) system for assisting radiologists in multiclass classification of brain tumors. In this paper, primary brain tumors such as astrocytoma, glioblastoma multiforme, childhood tumor-medulloblastoma, meningioma and secondary tumor-metastases along with normal regions are classified by a dual level neural network ensemble. Two hundred eighteen texture and intensity features are extracted from 856 segmented regions of interest (SROIs) and are taken as input. PCA is used for reduction of dimensionality of the feature space. The study is performed on a diversified dataset of 428 post contrast T1-weighted magnetic resonance images of 55 patients. Two sets of experiments are performed. In the first experiment, random selection is used which may allow SROIs from the same patient having similar characteristics to appear in both training and testing simultaneously. In the second experiment, not even a single SROI from the same patient is common during training and testing. In the first experiment, it is observed that the dual level neural network ensemble has enhanced the overall accuracy to 95.85% compared with 91.97% of single level artificial neural network. The proposed method delivers high accuracy for each class. The accuracy obtained for each class is: astrocytoma 96.29%, glioblastoma multiforme 96.15%, childhood tumor-medulloblastoma 90%, meningioma 93.00%, secondary tumor-metastases 96.67% and normal regions 97.41%. This study reveals that dual level neural network ensemble provides better results than the single level artificial neural network. In the second experiment, overall classification accuracy of 90.4% was achieved. The generalization ability of this approach can be tested by analyzing larger datasets. The extensive training will also further improve the performance of the proposed dual network ensemble. Quantitative results obtained from the proposed method will assist the radiologist in forming a better decision for classifying brain tumors.",Jainy J;Vinod V;Indra I;Niranjan N;Chirag Kamal CK
23099653,Survival and secondary tumors in children with medulloblastoma receiving radiotherapy and adjuvant chemotherapy: results of Children's Oncology Group trial A9961.,"The purpose of the trial was to determine the survival and incidence of secondary tumors in children with medulloblastoma receiving radiotherapy plus chemotherapy. Three hundred seventy-nine eligible patients with nondisseminated medulloblastoma between the ages of 3 and 21 years were treated with 2340 cGy of craniospinal and 5580 cGy of posterior fossa irradiation. Patients were randomized between postradiation cisplatin and vincristine plus either CCNU or cyclophosphamide. Survival, pattern of relapse, and occurrence of secondary tumors were assessed. Five- and 10-year event-free survivals were 81 ± 2% and 75.8 ± 2.3%; overall survivals were 87 ± 1.8% and 81.3 ± 2.1%. Event-free survival was not impacted by chemotherapeutic regimen, sex, race, age at diagnosis, or gender. Seven patients had disease relapse beyond 5 years after diagnosis; relapse was local in 4 patients, local plus supratentorial in 2, and supratentorial alone in 1. Fifteen patients experienced secondary tumors as a first event at a median time of 5.8 years after diagnosis (11 >5 y postdiagnosis). All non-CNS solid secondary tumors (4) occurred in regions that had received radiation. Of the 6 high-grade gliomas, 5 occurred >5 years postdiagnosis. The estimated cumulative 10-year incidence rate of secondary malignancies was 4.2% (1.9%-6.5%). Few patients with medulloblastoma will relapse ≥ 5 years postdiagnosis; relapse will occur predominantly at the primary tumor site. Patients are at risk for development of secondary tumors, many of which are malignant gliomas. This may become an increasing issue as more children survive.",Roger J RJ;Tianni T;Emi E;Gilbert G;Amar A
23097141,Neuron navigator 3 alterations in nervous system tumors associate with tumor malignancy grade and prognosis.,"Copy number changes or reduced expression of the Neuron navigator 3 (NAV3) gene occurs in neuroblastomas and malignancies of epithelial or lymphoid origin. To elucidate whether NAV3 has a role in the tumorigenesis of nervous system tumors in general, we studied central and peripheral nervous system tumors for NAV3 copy number changes. In search for common tumorigenic denominators, we analyzed 113 central and peripheral nervous system tumors, including glial tumors (grades I-IV gliomas), medulloblastomas, and neuroblastomas. NAV3 copy number changes were studied by fluorescence in situ hybridization and correlated to survival analyses. To identify target genes of NAV3 deletion, NAV3 was silenced by siRNA in glioblastoma cell lines and gene expression profiles were analyzed by Agilent 4×44k dual-color microarrays. Selected upregulations were confirmed by immunohistochemistry and quantitative polymerase chain reaction. We found NAV3 amplifications to dominate in neuronally differentiated tumors, whereas glial tumors showed almost equal proportions of NAV3 deletion and amplification. However, Grade IV gliomas had more frequent NAV3 deletions than grades I-III gliomas. Silencing of NAV3 in glioma cell lines led to the upregulation of receptor genes associated with gonadotropin-releasing hormone and Jak-Stat signaling pathways. Kaplan-Meier analysis of the entire clinical tumor material showed association between NAV3 amplifications and favorable prognosis, as well as NAV3 deletions and unfavorable prognosis. With Cox regression model, a hazard ratio of 0.51 was observed for NAV3 amplifications and 1.36 for NAV3 deletions. We conclude that NAV3 may be a potential new prognostic biomarker and a potential therapeutic target.",Emilia E;Kai K;Kristian K;Pia P;Valtteri V;Pilvi P;Anu A;Miikka M;Riku R;Samer S;Seppo S;Kirsi K;Sampsa S;Hannu H;Annamari A
23094051,Characterization of ectonucleotidases in human medulloblastoma cell lines: ecto-5'NT/CD73 in metastasis as potential prognostic factor.,"Medulloblastoma (MB) is the most common malignant brain tumor in children and occurs mainly in the cerebellum. Important intracellular signaling molecules, such those present in the Sonic Hedgehog and Wnt pathways, are involved in its development and can also be employed to determine tumor grade and prognosis. Ectonucleotidases, particularly ecto-5'NT/CD73, are important enzymes in the malignant process of different tumor types regulating extracellular ATP and adenosine levels. Here, we investigated the activity of ectonucleotidases in three malignant human cell lines: Daoy and ONS76, being representative of primary MB, and the D283 cell line, derived from a metastatic MB. All cell lines secreted ATP into the extracellular medium while hydrolyze poorly this nucleotide, which is in agreement with the low expression and activity of pyrophosphate/phosphodiesterase, NTPDases and alkaline phosphatase. The analysis of AMP hydrolysis showed that Daoy and ONS76 completely hydrolyzed AMP, with parallel adenosine production (Daoy) and inosine accumulation (ONS76). On the other hand, D283 cell line did not hydrolyze AMP. Moreover, primary MB tumor cells, Daoy and ONS76 express the ecto-5'NT/CD73 while D283 representative of a metastatic tumor, revealed poor expression of this enzyme, while the ecto-adenosine deaminase showed higher expression in D283 compared to Daoy and ONS76 cells. Nuclear beta-catenin has been suggested as a marker for MB prognosis. Further it can promotes expression of ecto-5'NT/CD73 and suppression of adenosine deaminase. It was observed that Daoy and ONS76 showed greater nuclear beta-catenin immunoreactivity than D283, which presented mainly cytoplasmic immunoreactivity. In summary, the absence of ecto-5'NT/CD73 in the D283 cell line, a metastatic MB phenotype, suggests that high expression levels of this ectonucleotidase could be correlated with a poor prognosis in patients with MB.",Angélica Regina AR;Liliana L;Fabrícia F;Vanessa V;Talita T;Elizandra E;Ana Lúcia AL;Rafael R;Henning H;Ana Maria Oliveira AM
